date,t,cp_location,cp_location_norm,cp_score
2023-07-18,10,5.0,0.5,nan
2023-07-19,11,3.0070756595691615,0.7992924340430838,0.6668270199330045
2023-07-20,12,7.9750028612042705,0.40249971387957295,0.9004885337303308
2023-07-21,13,7.999014909588387,0.5000985090411614,0.814234056454285
2023-07-24,14,7.954523276568732,0.6045476723431268,0.8533938211334497
2023-07-25,15,7.931850058531215,0.7068149941468784,0.7872522348654745
2023-07-26,16,15.999677321856295,3.226781437053461e-05,0.8576159928530003
2023-07-27,17,15.079744662278426,0.19202553377215742,0.8475274807188924
2023-07-28,18,15.070829627453552,0.2929170372546448,0.9105914257795187
2023-07-31,19,12.998024394590477,0.6001975605409523,0.8986567970048337
2023-08-01,20,12.985707888911051,0.7014292111088949,0.7843899713367528
2023-08-02,21,11.331778616979438,0.9668221383020562,0.5021386258693153
2023-08-03,22,18.525416634437192,0.3474583365562808,0.7423102826531724
2023-08-04,23,18.999290441360987,0.4000709558639013,0.7693877638472608
2023-08-07,24,18.441904066838163,0.5558095933161837,0.737037240048773
2023-08-08,25,16.918217643556552,0.8081782356443448,0.8082115695465282
2023-08-09,26,16.14334917444584,0.9856650825554159,0.9129170105979457
2023-08-10,27,21.99570132057198,0.5004298679428022,0.6421342205479941
2023-08-11,28,21.873966686679495,0.6126033313320505,0.7680506157336908
2023-08-14,29,26.623433807355923,0.2376566192644077,0.6872984429493298
2023-08-15,30,26.440380664916127,0.35596193350838734,0.7043509045822125
2023-08-16,31,24.984355791935126,0.6015644208064874,0.8458389044934513
2023-08-17,32,27.060355201114003,0.4939644798885997,0.6402856539969499
2023-08-18,33,26.85236458398159,0.614763541601841,0.6605361794345217
2023-08-21,34,24.880980552417363,0.9119019447582637,0.7995273983042994
2023-08-22,35,28.30641948740038,0.6693580512599621,0.7245091156312148
2023-08-23,36,35.999999999880465,1.1953460443692165e-11,0.6886581369785928
2023-08-24,37,28.69988026459731,0.8300119735402689,0.9986686971261792
2023-08-25,38,28.638137876099872,0.9361862123900128,0.9223132123197112
2023-08-28,39,32.00593818270085,0.6994061817299148,0.5698552968259887
2023-08-29,40,35.005159787969994,0.4994840212030006,0.6826035838432423
2023-08-30,41,32.037078099656604,0.8962921900343396,0.5916426383789891
2023-08-31,42,40.953080238288585,0.10469197617114148,0.8736081637931923
2023-09-01,43,40.99932774136697,0.2000672258633031,0.8271993711824978
2023-09-05,44,40.98855418706317,0.3011445812936827,0.9034086247090096
2023-09-06,45,40.999266304546374,0.40007336954536254,0.8918176459409097
2023-09-07,46,40.99130473589142,0.5008695264108581,0.9108971591692772
2023-09-08,47,40.94077385053705,0.6059226149462951,0.9496522758603205
2023-09-11,48,40.974274089672704,0.7025725910327296,0.8316848168694734
2023-09-12,49,40.99691723111198,0.8003082768888021,0.7855491357110848
2023-09-13,50,42.18504465030096,0.7814955349699041,0.905292124414226
2023-09-14,51,48.00034429470834,0.29996557052916584,0.7231250388603212
2023-09-15,52,48.008550230059356,0.39914497699406437,0.7212701886870827
2023-09-18,53,48.00044861453184,0.4999551385468159,0.6412645189617658
2023-09-19,54,48.00458762423495,0.5995412375765049,0.5993367888699297
2023-09-20,55,54.15735748727883,0.08426425127211701,0.9366976737349605
2023-09-21,56,54.001074716655765,0.1998925283344235,0.9715487682297822
2023-09-22,57,54.00660513332498,0.2993394866675018,0.9100225061341518
2023-09-25,58,52.93361370199145,0.5066386298008553,0.7627930830980162
2023-09-26,59,52.613553897207424,0.6386446102792576,0.6172034599558023
2023-09-27,60,51.964791932127866,0.8035208067872134,0.9803057272300014
2023-09-28,61,56.941634290893724,0.40583657091062764,0.656845545923485
2023-09-29,62,56.8158215966458,0.5184178403354203,0.7159774010461855
2023-10-02,63,58.06886044017665,0.49311395598233504,0.7834729893125507
2023-10-03,64,56.8604199075734,0.7139580092426598,0.6501096597208559
2023-10-04,65,56.452606653277066,0.8547393346722935,0.948102821199253
2023-10-05,66,62.00514675693574,0.3994853243064263,0.541736808697722
2023-10-06,67,61.95359002418507,0.5046409975814932,0.5292917403875061
2023-10-09,68,59.71682043207037,0.8283179567929629,0.5430722404367603
2023-10-10,69,67.29832816391081,0.170167183608919,0.7999728331907141
2023-10-11,70,67.57037882946517,0.24296211705348297,0.6608659077780514
2023-10-12,71,65.9969542695224,0.5003045730477595,0.6168356589970749
2023-10-13,72,65.99621208123907,0.6003787918760934,0.6445076698190877
2023-10-16,73,65.66923603154888,0.7330763968451123,0.6414827862632229
2023-10-17,74,65.9951251542176,0.8004874845782396,0.6453069486192147
2023-10-18,75,68.17144708198336,0.682855291801664,0.5979199831296812
2023-10-19,76,76.0,0.0,0.6219691350204986
2023-10-20,77,74.00324632364583,0.29967536763541747,0.684657983577525
2023-10-23,78,73.99650195574765,0.4003498044252353,0.574371229105453
2023-10-24,79,76.0011073334245,0.29988926665755,0.5961049657627919
2023-10-25,80,79.99999894798802,1.052011981528267e-07,0.9980495898550346
2023-10-26,81,80.99999999830112,1.698879259492969e-10,0.9792903202226109
2023-10-27,82,79.00690208038574,0.2993097919614257,0.9895484604522624
2023-10-30,83,78.22948154062009,0.47705184593799144,0.9766155188011477
2023-10-31,84,78.09445534444701,0.5905544655552987,0.9817297967202926
2023-11-01,85,78.02752801277876,0.697247198722124,0.9836404184461781
2023-11-02,86,83.18708658698466,0.28129134130153377,0.8842369458050413
2023-11-03,87,82.91190424254958,0.4088095757450418,0.983522722484156
2023-11-06,88,80.96688434182921,0.7033115658170785,0.9984513165510444
2023-11-07,89,80.41578837548617,0.8584211624513827,0.9998614890065349
